iter	Passed	Remaining
0	28	2843
1	57	2805
2	98	3187
3	140	3372
4	151	2879
5	188	2945
6	238	3168
7	283	3261
8	316	3202
9	359	3233
10	404	3269
11	445	3263
12	475	3181
13	518	3188
14	567	3218
15	611	3209
16	648	3165
17	679	3095
18	730	3115
19	778	3114
20	813	3060
21	850	3016
22	877	2936
23	921	2918
24	966	2900
25	1012	2881
26	1047	2831
27	1087	2797
28	1125	2756
29	1169	2728
30	1211	2697
31	1255	2668
32	1292	2623
33	1338	2597
34	1383	2569
35	1423	2530
36	1478	2517
37	1516	2473
38	1569	2454
39	1609	2413
40	1639	2358
41	1680	2320
42	1728	2291
43	1771	2254
44	1801	2201
45	1840	2160
46	1879	2119
47	1920	2080
48	1960	2040
49	2003	2003
50	2034	1954
51	2082	1922
52	2129	1888
53	2175	1853
54	2215	1812
55	2248	1766
56	2290	1728
57	2338	1693
58	2380	1654
59	2437	1624
60	2477	1584
61	2512	1539
62	2557	1502
63	2599	1462
64	2633	1417
65	2669	1374
66	2715	1337
67	2752	1295
68	2789	1253
69	2820	1208
70	2867	1171
71	2907	1130
72	2945	1089
73	2978	1046
74	3016	1005
75	3061	966
76	3105	927
77	3139	885
78	3205	851
79	3242	810
80	3296	773
81	3335	732
82	3392	694
83	3435	654
84	3486	615
85	3525	573
86	3573	533
87	3612	492
88	3648	450
89	3699	411
90	3736	369
91	3778	328
92	3827	288
93	3867	246
94	3908	205
95	3949	164
96	3989	123
97	4033	82
98	4073	41
99	4115	0
